2026-04-04 10:41:25 | INFO | application.py:128 | start | Init ReMe with config: {"backend":"","app_name":"ReMe","working_dir":"C:\\Users\\Administrator\\.copaw","enable_logo":false,"language":"","thread_pool_max_workers":16,"ray_max_workers":-1,"log_to_console":false,"disabled_flows":[],"enabled_flows":[],"mcp_servers":{},"mcp":{"transport":"stdio","host":"0.0.0.0","port":8001},"http":{"host":"0.0.0.0","port":8001,"timeout_keep_alive":3600,"limit_concurrency":1000},"cmd":{"flow":""},"ops":{},"flows":{},"llms":{},"embedding_models":{"default":{"backend":"openai","model_name":"","dimensions":1024,"enable_cache":true,"use_dimensions":false,"max_cache_size":2000,"max_input_length":8192,"max_batch_size":10}},"vector_stores":{},"file_stores":{"default":{"backend":"local","store_name":"copaw","embedding_model":"default","vector_enabled":false,"fts_enabled":true}},"token_counters":{},"file_watchers":{"default":{"backend":"full","file_store":"default","watch_paths":["C:\\Users\\Administrator\\.copaw\\MEMORY.md","C:\\Users\\Administrator\\.copaw\\memory.md","C:\\Users\\Administrator\\.copaw\\memory"],"suffix_filters":[".md"],"recursive":false,"scan_on_start":true}},"metadata":{}}
2026-04-04 10:41:25 | INFO | base_embedding_model.py:141 | _load_cache | No cache file found at C:\Users\Administrator\.copaw\embedding_cache\embedding_cache.jsonl, starting with empty cache
2026-04-04 10:41:25 | INFO | local_file_store.py:121 | start | LocalFileStore 'copaw' ready: 20 chunks, metadata at C:\Users\Administrator\.copaw\file_store\copaw_file_metadata.json
2026-04-04 10:41:25 | WARNING | base_file_watcher.py:116 | _scan_existing_files | Watch path does not exist: C:\Users\Administrator\.copaw\MEMORY.md
2026-04-04 10:41:25 | WARNING | base_file_watcher.py:116 | _scan_existing_files | Watch path does not exist: C:\Users\Administrator\.copaw\memory.md
2026-04-04 10:41:25 | INFO | base_file_watcher.py:137 | _scan_existing_files | [SCAN_ON_START] Found 8 existing files matching watch criteria
2026-04-04 10:41:25 | INFO | full_file_watcher.py:65 | _on_changes | delete_file C:\Users\Administrator\.copaw\memory\2026-03-19.md
2026-04-04 10:41:25 | INFO | full_file_watcher.py:68 | _on_changes | Upserted 1 chunks for C:\Users\Administrator\.copaw\memory\2026-03-19.md
2026-04-04 10:41:25 | INFO | full_file_watcher.py:77 | _on_changes | File 1 changed: C:\Users\Administrator\.copaw\memory\2026-03-19.md
2026-04-04 10:41:25 | INFO | full_file_watcher.py:65 | _on_changes | delete_file C:\Users\Administrator\.copaw\memory\2026-03-24.md
2026-04-04 10:41:25 | INFO | full_file_watcher.py:68 | _on_changes | Upserted 2 chunks for C:\Users\Administrator\.copaw\memory\2026-03-24.md
2026-04-04 10:41:25 | INFO | full_file_watcher.py:77 | _on_changes | File 1 changed: C:\Users\Administrator\.copaw\memory\2026-03-24.md
2026-04-04 10:41:25 | INFO | full_file_watcher.py:65 | _on_changes | delete_file C:\Users\Administrator\.copaw\memory\2026-03-09.md
